School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Manava Bhawna Public School,110084,510,3,3,,,200,Onetime,1000,Monthly,,,,,440,Annually,,,12640,1037
Manava Bhawna Public School,110084,510,4,4,,,200,Onetime,1000,Monthly,,,,,440,Annually,,,12640,1037
Manava Bhawna Public School,110084,510,5,5,,,200,Onetime,1000,Monthly,,,,,440,Annually,,,12640,1037
Manava Bhawna Public School,110084,510,6,6,,,200,Onetime,1300,Monthly,,,,,540,Annually,,,16340,1345
Manava Bhawna Public School,110084,510,7,7,,,200,Onetime,1300,Monthly,,,,,540,Annually,,,16340,1345
Manava Bhawna Public School,110084,510,8,8,,,200,Onetime,1300,Monthly,,,,,540,Annually,,,16340,1345
Manava Bhawna Public School,110084,510,9,9,,,200,Onetime,1750,Monthly,,,,,640,Annually,,,21840,1803
Manava Bhawna Public School,110084,510,10,10,,,200,Onetime,1750,Monthly,,,,,640,Annually,,,21840,1803
Murti Devi Public School,110084,513,1,1,,,200,Onetime,1686,Monthly,,,,,2640,Annually,,,23072,1906
Murti Devi Public School,110084,513,2,2,,,200,Onetime,1686,Monthly,,,,,2640,Annually,,,23072,1906
Murti Devi Public School,110084,513,3,3,,,200,Onetime,1686,Monthly,,,,,2640,Annually,,,23072,1906
Murti Devi Public School,110084,513,4,4,,,200,Onetime,1686,Monthly,,,,,2640,Annually,,,23072,1906
Murti Devi Public School,110084,513,5,5,,,200,Onetime,1686,Monthly,,,,,2640,Annually,,,23072,1906
Murti Devi Public School,110084,513,6,6,,,200,Onetime,2170,Monthly,,,,,2640,Annually,,,28880,2390
Murti Devi Public School,110084,513,7,7,,,200,Onetime,2170,Monthly,,,,,2640,Annually,,,28880,2390
Murti Devi Public School,110084,513,8,8,,,200,Onetime,2170,Monthly,,,,,2640,Annually,,,28880,2390
Murti Devi Public School,110084,513,9,9,,,200,Onetime,2500,Monthly,,,,,3000,Annually,,,33200,2750
Murti Devi Public School,110084,513,10,10,,,200,Onetime,2500,Monthly,,,,,3000,Annually,,,33200,2750
Rama Public School,110084,501,Nursery,12,,,,,700,Monthly,,,,,1500,Annually,,,9900,825
Rama Public School,110084,501,UKG,16,,,,,900,Monthly,,,,,1500,Annually,,,12300,1025
Oscar Public School,110084,517,1,1,,,200,Onetime,1150,Monthly,,,1290,Annually,2400,Annually,,,17690,1458
Oscar Public School,110084,517,2,2,,,200,Onetime,1150,Monthly,,,1290,Annually,2400,Annually,,,17690,1458
Oscar Public School,110084,517,3,3,,,200,Onetime,1150,Monthly,,,1290,Annually,2400,Annually,,,17690,1458
Oscar Public School,110084,517,4,4,,,200,Onetime,1150,Monthly,,,1290,Annually,2400,Annually,,,17690,1458
Oscar Public School,110084,517,5,5,,,200,Onetime,1150,Monthly,,,1290,Annually,2400,Annually,,,17690,1458
Oscar Public School,110084,517,6,6,,,200,Onetime,1390,Monthly,,,1290,Annually,2400,Annually,,,20570,1698
Oscar Public School,110084,517,7,7,,,200,Onetime,1390,Monthly,,,1290,Annually,2400,Annually,,,20570,1698
Oscar Public School,110084,517,8,8,,,200,Onetime,1390,Monthly,,,1290,Annually,2400,Annually,,,20570,1698
Oscar Public School,110084,517,9,9,,,200,Onetime,1620,Monthly,,,1550,Annually,3250,Annually,,,24440,2020
