country_id,country,state,city,district,district_region,area,pincode
1,India,UttarPradesh,Lucknow,Lucknow,Narosa,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Naubasta,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Navinmandi,,226020
1,India,UttarPradesh,Lucknow,Lucknow,Naya Gaon,,226018
1,India,UttarPradesh,Lucknow,Lucknow,Neewan,,226401
1,India,UttarPradesh,Lucknow,Lucknow,New Ganeshganj,,226018
1,India,UttarPradesh,Lucknow,Lucknow,New Hyderabad,,226007
1,India,UttarPradesh,Lucknow,Lucknow,Nigohan,,226302
1,India,UttarPradesh,Lucknow,Lucknow,Nilmatha,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Niralanagar,,226020
1,India,UttarPradesh,Lucknow,Lucknow,Paharpur,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Pandariba,,226004
1,India,UttarPradesh,Lucknow,Lucknow,Pateona,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Pawanpuri,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Piparsand,,226008
1,India,UttarPradesh,Lucknow,Lucknow,Purseni,,226301
1,India,UttarPradesh,Lucknow,Lucknow,R A College,,226004
1,India,UttarPradesh,Lucknow,Lucknow,R B Colony,,226018
1,India,UttarPradesh,Lucknow,Lucknow,R G C Mill,,226017
1,India,UttarPradesh,Lucknow,Lucknow,R P Line,,226007
1,India,UttarPradesh,Lucknow,Lucknow,Raghunathpur,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Rahim Nagar Padiana,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Rahimabad,,226103
1,India,UttarPradesh,Lucknow,Lucknow,Rahimnagar Padiyana,,226401
1,India,UttarPradesh,Lucknow,Lucknow,Raitha,,226202
1,India,UttarPradesh,Lucknow,Lucknow,Raja Bazar,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Rajajipuram,,226017
1,India,UttarPradesh,Lucknow,Lucknow,Rajauli,,226026
1,India,UttarPradesh,Lucknow,Lucknow,Rajendranagar,,226004
1,India,UttarPradesh,Lucknow,Lucknow,Ranipara,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Rasoolpur Saadat,,226028
1,India,UttarPradesh,Lucknow,Lucknow,Rasoolpur Tikaniamau,,226501
1,India,UttarPradesh,Lucknow,Lucknow,Rehman Khera,,226101
1,India,UttarPradesh,Lucknow,Lucknow,Rusena,,226103
1,India,UttarPradesh,Lucknow,Lucknow,Saadatganj,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Sadrauna,,226008
1,India,UttarPradesh,Lucknow,Lucknow,Sahijana,,226103
1,India,UttarPradesh,Lucknow,Lucknow,Sairpur,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Salehnagar,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Salempur,,226501
1,India,UttarPradesh,Lucknow,Lucknow,Samesi,,226303
1,India,UttarPradesh,Lucknow,Lucknow,Sanatan Dharam Vidya Peeth,,226026
1,India,UttarPradesh,Lucknow,Lucknow,Sant Market,,226006
1,India,UttarPradesh,Lucknow,Lucknow,Sarai Damu,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Sarai Gudauli,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Sarai Mali Khan,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Saraura,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Sarfraj,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Sarojini Nagar,,226008
1,India,UttarPradesh,Lucknow,Lucknow,Sarvoday Nagar,,226016
1,India,UttarPradesh,Lucknow,Lucknow,Sathwara,,226501
